,Name,City,Average Cost for two,User Rating
0,Mandoo,Adelaide,45,4.8
1,127 Days,Adelaide,50,4.7
2,Indian Temptations,Adelaide,50,4.8
3,Parwana Afghan Restaurant,Adelaide,80,4.7
4,Kefi Greek Cuisine,Adelaide,80,4.7
5,Enzo's Ristorante,Adelaide,100,4.7
6,Peel St,Adelaide,110,4.9
7,Orana,Adelaide,350,4.9
8,85 Miskin St,Brisbane,200,4.7
9,Gerard's Bistro,Brisbane,200,4.7
10,Rogue Bistro,Brisbane,140,4.9
11,Julius Pizzeria,Brisbane,80,4.9
12,Bird's Nest Yakitori,Brisbane,80,4.7
13,Hosokawa Japanese Restaurant,Brisbane,60,4.7
14,Grill'd - Rosalie,Brisbane,40,4.8
15,Oishii Sushi Bar,Brisbane,40,4.8
16,Just Poppy's,Brisbane,40,4.7
17,Zum Kaiser,Brisbane,60,4.7
18,Punch Lane,Melbourne,150,4.8
19,Sezar,Melbourne,120,4.7
20,Railway Club Hotel Port Melbourne,Melbourne,120,4.8
21,Hell of the North,Melbourne,135,4.7
22,Shoya Nouvelle Wafu Cuisine,Melbourne,140,4.7
23,Cumulus Inc.,Melbourne,150,4.7
24,Wagyu Ya,Melbourne,150,4.7
25,Komeyui,Melbourne,150,4.7
26,Tipo 00,Melbourne,150,4.9
27,Attica,Melbourne,600,4.8
28,Scopri Italian Food & Wine,Melbourne,180,4.9
29,Cutler & Co,Melbourne,200,4.7
30,Bistro Thierry,Melbourne,200,4.7
31,Il Bacaro Cucina e Bar,Melbourne,200,4.7
32,Matteo's Restaurant,Melbourne,280,4.7
33,Maha Restaurant,Melbourne,300,4.7
34,Minamishima,Melbourne,450,4.9
35,MoVida Bar De Tapas,Melbourne,120,4.7
36,Vue de monde,Melbourne,600,4.9
37,La Luna Bistro,Melbourne,160,4.7
38,Dexter,Melbourne,110,4.9
39,Shira Nui,Melbourne,150,4.8
40,Rumi Brunswick,Melbourne,100,4.7
41,Lentil As Anything,Melbourne,25,4.8
42,A1 Bakery,Melbourne,30,4.7
43,Suzuran,Melbourne,35,4.9
44,Pho Hung Vuong Saigon,Melbourne,40,4.7
45,Katik Take Away Food,Melbourne,40,4.7
46,Pho Hung Vuong Springvale,Melbourne,40,4.9
47,The Proud Peacock,Melbourne,45,4.8
48,Hakata Gensuke Ramen Professionals,Melbourne,50,4.7
49,Yeonga Korean BBQ Restaurant,Melbourne,100,4.8
50,The Abyssinian,Melbourne,60,4.7
51,Aoba,Melbourne,50,4.7
52,Laksa King,Melbourne,70,4.7
53,Myong Tofu,Melbourne,70,4.7
54,Jinda Thai Restaurant,Melbourne,80,4.7
55,Mr. Miyagi,Melbourne,80,4.7
56,Milk the Cow,Melbourne,80,4.7
57,Rice Paper Scissors,Melbourne,80,4.8
58,Aka Siro,Melbourne,80,4.8
59,Bahari The Hellenic Palate,Melbourne,80,4.8
60,Claypots Seafood Bar,Melbourne,90,4.7
61,Fresh Chilli Thai Restaurant,Melbourne,60,4.7
62,Nobu Perth,Perth,410,4.8
63,Petite Mort,Perth,250,4.7
64,Chez Pierre,Perth,150,4.8
65,Nine Fine Food,Perth,150,4.7
66,Galileo Buona Cucina,Perth,90,4.8
67,Prego Restaurant,Perth,120,4.7
68,Run Amuk,Perth,50,4.9
69,Solo Pizza,Perth,50,4.7
70,Shou Japanese Kitchen,Perth,50,4.7
71,Nao Japanese,Perth,50,4.7
72,Pacific Rim Mix Plate,Perth,40,4.9
73,Ha-Lu,Perth,60,4.9
74,Claire's Kitchen at Le Salon,Sydney,120,4.7
75,Sokyo,Sydney,120,4.8
76,The Dolar Shop Hot Pot Restaurant 豆捞坊 - 1909 Dining Precinct,Sydney,120,4.8
77,Hugos Manly,Sydney,130,4.7
78,Restaurant Hubert,Sydney,150,4.9
79,Ester,Sydney,150,4.8
80,Thai Pothong,Sydney,100,4.7
81,LuMi Bar & Dining,Sydney,190,4.9
82,Sixpenny,Sydney,280,4.9
83,Ormeggio At The Spit,Sydney,300,4.7
84,KOI Dessert Bar,Sydney,150,4.8
85,Bistro Papillon,Sydney,80,4.8
86,Rosso Pomodoro,Sydney,60,4.7
87,The Baxter Inn,Sydney,60,4.8
88,Bar Luca,Sydney,60,4.7
89,Ryo's Noodles,Sydney,50,4.7
90,Manpuku,Sydney,40,4.9
91,Five Points Burgers,Sydney,40,4.8
92,Belly Bao,Sydney,40,4.7
93,Tan Viet Noodle House,Sydney,35,4.9
94,Malay Chinese Takeaway,Sydney,35,4.7
95,Mappen Noodle Restaurant,Sydney,25,4.7
96,Pasticceria Papa,Sydney,20,4.7
97,Tetsuya's,Sydney,440,4.9
98,Ho Jiak Haymarket 好吃禧市,Sydney,70,4.8
99,Quay,Sydney,500,4.9
